----------------- start log sensor -----------------
Receive dvl data sequenc is 212
Receive dvl data sequenc is 213
Receive dvl data sequenc is 214
Receive dvl data sequenc is 215
Receive dvl data sequenc is 216
Receive dvl data sequenc is 217
Receive dvl data sequenc is 218
Receive dvl data sequenc is 219
Receive dvl data sequenc is 220
Receive dvl data sequenc is 221
Receive dvl data sequenc is 222
Receive dvl data sequenc is 223
Receive dvl data sequenc is 224
Receive dvl data sequenc is 225
Receive dvl data sequenc is 226
Receive dvl data sequenc is 227
Receive dvl data sequenc is 228
Receive dvl data sequenc is 229
Receive dvl data sequenc is 230
Receive dvl data sequenc is 231
Receive dvl data sequenc is 232
Receive dvl data sequenc is 233
Receive dvl data sequenc is 234
Receive dvl data sequenc is 235
Receive dvl data sequenc is 236
Receive dvl data sequenc is 237
Receive dvl data sequenc is 238
Receive dvl data sequenc is 239
Receive dvl data sequenc is 240
Receive dvl data sequenc is 241
Receive dvl data sequenc is 242
Receive dvl data sequenc is 243
Receive dvl data sequenc is 244
Receive dvl data sequenc is 245
Receive dvl data sequenc is 246
Receive dvl data sequenc is 247
Receive dvl data sequenc is 248
Receive dvl data sequenc is 249
Receive dvl data sequenc is 250
Receive dvl data sequenc is 251
Receive dvl data sequenc is 252
Receive dvl data sequenc is 253
Receive dvl data sequenc is 254
Receive dvl data sequenc is 255
Receive dvl data sequenc is 256
Receive dvl data sequenc is 257
Receive dvl data sequenc is 258
Receive dvl data sequenc is 259
Receive dvl data sequenc is 260
Receive dvl data sequenc is 261
Receive dvl data sequenc is 262
Receive dvl data sequenc is 263
Receive dvl data sequenc is 264
Receive dvl data sequenc is 265
Receive dvl data sequenc is 266
Receive dvl data sequenc is 267
Receive dvl data sequenc is 268
Receive dvl data sequenc is 269
Receive dvl data sequenc is 270
Receive dvl data sequenc is 271
Receive dvl data sequenc is 272
Receive dvl data sequenc is 273
Receive dvl data sequenc is 274
Receive dvl data sequenc is 275
Receive dvl data sequenc is 276
Receive dvl data sequenc is 277
Receive dvl data sequenc is 278
Receive dvl data sequenc is 279
Receive dvl data sequenc is 280
Receive dvl data sequenc is 281
Receive dvl data sequenc is 282
Receive dvl data sequenc is 283
Receive dvl data sequenc is 284
Receive dvl data sequenc is 285
Receive dvl data sequenc is 286
Receive dvl data sequenc is 287
Receive dvl data sequenc is 288
Receive dvl data sequenc is 289
Receive dvl data sequenc is 290
Receive dvl data sequenc is 291
Receive dvl data sequenc is 292
Receive dvl data sequenc is 293
Receive dvl data sequenc is 294
Receive dvl data sequenc is 295
Receive dvl data sequenc is 296
Receive dvl data sequenc is 297
Receive dvl data sequenc is 298
Receive dvl data sequenc is 299
Receive dvl data sequenc is 300
Receive dvl data sequenc is 301
Receive dvl data sequenc is 302
Receive dvl data sequenc is 303
Receive dvl data sequenc is 304
Receive dvl data sequenc is 305
Receive dvl data sequenc is 306
Receive dvl data sequenc is 307
Receive dvl data sequenc is 308
Receive dvl data sequenc is 309
Receive dvl data sequenc is 310
Receive dvl data sequenc is 311
Receive dvl data sequenc is 312
Receive dvl data sequenc is 313
Receive dvl data sequenc is 314
Receive dvl data sequenc is 315
Receive dvl data sequenc is 316
Receive dvl data sequenc is 317
Receive dvl data sequenc is 318
Receive dvl data sequenc is 319
Receive dvl data sequenc is 320
Receive dvl data sequenc is 321
Receive dvl data sequenc is 322
Receive dvl data sequenc is 323
Receive dvl data sequenc is 324
Receive dvl data sequenc is 325
Receive dvl data sequenc is 326
Receive dvl data sequenc is 327
Receive dvl data sequenc is 328
Receive dvl data sequenc is 329
Receive dvl data sequenc is 330
Receive dvl data sequenc is 331
Receive dvl data sequenc is 332
Receive dvl data sequenc is 333
Receive dvl data sequenc is 334
Receive dvl data sequenc is 335
Receive dvl data sequenc is 336
Receive dvl data sequenc is 337
Receive dvl data sequenc is 338
Receive dvl data sequenc is 339
Receive dvl data sequenc is 340
Receive dvl data sequenc is 341
Receive dvl data sequenc is 342
Receive dvl data sequenc is 343
Receive dvl data sequenc is 344
Receive dvl data sequenc is 345
Receive dvl data sequenc is 346
Receive dvl data sequenc is 347
Receive dvl data sequenc is 348
Receive dvl data sequenc is 349
Receive dvl data sequenc is 350
Receive dvl data sequenc is 351
Receive dvl data sequenc is 352
Receive dvl data sequenc is 353
Receive dvl data sequenc is 354
Receive dvl data sequenc is 355
Receive dvl data sequenc is 356
Receive dvl data sequenc is 357
Receive dvl data sequenc is 358
Receive dvl data sequenc is 359
Receive dvl data sequenc is 360
Receive dvl data sequenc is 361
Receive dvl data sequenc is 362
Receive dvl data sequenc is 363
Receive dvl data sequenc is 364
Receive dvl data sequenc is 365
Receive dvl data sequenc is 366
Receive dvl data sequenc is 367
Receive dvl data sequenc is 368
Receive dvl data sequenc is 369
Receive dvl data sequenc is 370
Receive dvl data sequenc is 371
Receive dvl data sequenc is 372
Receive dvl data sequenc is 373
Receive dvl data sequenc is 374
Receive dvl data sequenc is 375
Receive dvl data sequenc is 376
